Country,City,Description
UK,Belfast,Capital of Northern Ireland known for its maritime history and cultural scene
UK,London,Capital city of the UK known for landmarks museums and history
UK,Edinburgh,Historic Scottish capital famous for its castle and festivals
UK,Glasgow,Major Scottish city known for music architecture and culture
UK,Manchester,Large city known for football music and industry
UK,Newcastle,Historic city on the River Tyne known for bridges and nightlife
UK,Aberdeen,Coastal Scottish city known as the Granite City
UK,Bristol,Creative city in southwest England known for maritime heritage
Ireland,Dublin,Capital of Ireland known for literature history and culture
Canada,Toronto,Canada’s largest city and major financial hub
Canada,Vancouver,Coastal city known for mountains nature and film industry
Canada,Calgary,City near the Rockies known for energy industry and Stampede
Canada,Montreal,French Canadian city known for culture food and festivals
Canada,Ottawa,Capital of Canada home to national museums and government
Canada,Halifax,Historic Atlantic port city with maritime heritage
Canada,Winnipeg,Central Canadian city known for arts culture and history
Canada,Saskatoon,Prairie city known for bridges river valley and sunshine
Canada,Regina,Capital of Saskatchewan known for parks and cultural institutions
